Project Name,Package Name,Type Name,Method Name,Code Smell
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,createRecentNote,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,testGetRecentProjectItems,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,testGetRecentProjectItems,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,testGetRecentProjectItems,Magic Number
bulletJournal,com.bulletjournal.controller,BankAccountControllerTest,testCRUD,Magic Number
bulletJournal,com.bulletjournal.controller,BankAccountControllerTest,testCRUD,Magic Number
bulletJournal,com.bulletjournal.controller,BankAccountControllerTest,createBankAccount,Long Statement
bulletJournal,com.bulletjournal.controller,BankAccountControllerTest,testGetBankAccounts,Long Statement
bulletJournal,com.bulletjournal.controller,BankAccountControllerTest,testUpdateBankAccount,Long Statement
bulletJournal,com.bulletjournal.controller,BankAccountControllerTest,testDeleteBankAccount,Long Statement
bulletJournal,com.bulletjournal.controller,GoogleCalendarControllerTest,testUnwatchCalendar,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,testCRUD,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,testCRUD,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,testCRUD,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,testCRUD,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,testCRUD,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,updateProjectGroup,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,updateProjectGroup,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,findItemsByLabels,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,findItemsByLabels,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,createLabels,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,createLabels,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,createLabels,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,createLabels,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,createTransactions,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,createTransactions,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,createTransactions,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,createTransactions,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,createNotes,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,deleteTransactions,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,deleteTransaction,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,deleteTransaction,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,updateTransaction,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,createTransaction,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,createTransaction,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,createNote,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,getNote,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,updateNote,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,updateNoteRelations,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,deleteNote,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,deleteNote,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,deleteNote,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,createTasks,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,createTasks,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,createTasks,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,createTasks,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,createTasks,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,createTasks,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,createTasks,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,createTasks,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,createTasks,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,createTasks,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,addRecurringTasks,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,addRecurringTasks,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,addRecurringTasks,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,moveTasks,Long Parameter List
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,moveTasks,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,moveTasks,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,moveTasks,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,moveTasks,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,moveTasks,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,moveTasks,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,moveTasks,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,updateTaskRelations,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,createTask,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,createTask,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,shareTask,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,shareTask,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,shareTask,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,shareTask,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,shareTask,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,shareLink,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,shareLink,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,shareLink,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,shareLink,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,shareLink,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,shareLink,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,shareLink,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,shareLink,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,shareLink,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,shareLink,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,shareLink,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,shareLink,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,shareLink,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,shareLink,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,shareLink,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,shareLink,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,shareLink,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,shareLink,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,shareLink,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,shareLink,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,shareLink,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,shareLink,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,shareLink,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,shareLink,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,deleteTaskContent,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,createTaskContent,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,createTaskContent,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,createTaskContent,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,getTaskContents,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,updateTask,Long Parameter List
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,updateTask,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,updateTask,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,updateTask,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,deleteTask,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,deleteProject,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,deleteProject,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,deleteProject,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,answerNotifications,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,answerNotifications,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,answerNotifications,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,validateNotificationResponseEtagMatch,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,updateProjectRelations,Long Identifier
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,updateProjectRelations,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectControllerTest,updateProjectRelations,Magic Number
