Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,createRecentProject,14,1,3
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,addRecentTasks,21,1,1
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,addRecentNotes,8,1,1
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,addRecentTaskContents,10,1,2
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,createRecentTask,10,1,4
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,createRecentTaskLabels,14,2,0
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,addRecentTransactions,8,1,1
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,createRecentTransaction,10,1,3
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,createRecentNote,10,1,3
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,testGetRecentProjectItems,17,1,0
BulletJournal,com.bulletjournal.controller,BankAccountControllerTest,setup,4,1,0
BulletJournal,com.bulletjournal.controller,BankAccountControllerTest,testCRUD,8,1,0
BulletJournal,com.bulletjournal.controller,BankAccountControllerTest,createBankAccount,11,1,4
BulletJournal,com.bulletjournal.controller,BankAccountControllerTest,testGetBankAccounts,7,1,1
BulletJournal,com.bulletjournal.controller,BankAccountControllerTest,testUpdateBankAccount,11,1,2
BulletJournal,com.bulletjournal.controller,BankAccountControllerTest,testDeleteBankAccount,4,1,1
BulletJournal,com.bulletjournal.controller,GoogleCalendarControllerTest,testUnwatchCalendar,5,1,0
BulletJournal,com.bulletjournal.controller,ProjectControllerTest,setup,5,1,0
BulletJournal,com.bulletjournal.controller,ProjectControllerTest,testCRUD,36,3,0
BulletJournal,com.bulletjournal.controller,ProjectControllerTest,updateProjectGroup,11,1,2
BulletJournal,com.bulletjournal.controller,ProjectControllerTest,findItemsByLabels,13,2,2
BulletJournal,com.bulletjournal.controller,ProjectControllerTest,createLabels,14,2,0
BulletJournal,com.bulletjournal.controller,ProjectControllerTest,createTransactions,27,1,2
BulletJournal,com.bulletjournal.controller,ProjectControllerTest,createNotes,15,1,2
